Category,Value
Other,Ashmore_Impact-of-Alleged-Russian-Cyber-Attacks(Jan-18-09).pdf
Network activity,prygi.blogspot.com
Network activity,transnet.act.nato.int
Network activity,www.times.spb.ru
Network activity,lumen.cgsccarl.com
Network activity,translate.google.ru
Network activity,www.wmdinsights.com
Network activity,www.euractiv.com
Network activity,stu.neva.ru
Network activity,CNN.com
Network activity,Infopass.net
Network activity,www.businessweek.com
Network activity,www.iht.com
Network activity,nato.int
Network activity,EurActiv.com
Network activity,search.ebscohost.com
Network activity,www.osce.org
Network activity,ec.europa.eu
Network activity,America.gov
Network activity,www.opensource.gov
Network activity,conventions.coe.int
Network activity,www.nato.int
Network activity,www.guardian.co.uk
Network activity,www.un.org
Network activity,StopGeorgia.ru
Network activity,studies.do
Network activity,proquest.umi.com
Network activity,Economist.com
Network activity,www.baltictimes.com
Network activity,www.earthtimes.org
Network activity,www.america.gov
Network activity,www.foreignpolicy.com
Network activity,Forbes.com
Network activity,www.jamestown.org
Network activity,www.europarl.europa.eu
Network activity,Civil.ge
Network activity,www.economist.com
Network activity,www.dni.gov
Network activity,www.inforwars.net
Other,ghostnet.pdf
Network activity,210.51.7.155
Network activity,www.internetworldstats.com
Network activity,worldanalysis.net
External analysis,Beijings-rising-hackers.pdf
Network activity,www.yorku.ca
Network activity,broad.hk.hi.dynamic.163data.com.cn
Network activity,xxxxxxxxxxxxxxxxxxxxxxxxx.broad.hk.hi.dynamic.163data.com.cn
Network activity,com.cn
Payload delivery,campaigns@freetibet.org
Network activity,www.indexindian.com
External analysis,bg_2106.pdf
Network activity,61.188.87.58
Network activity,221.5.250.98
Network activity,opennet.net
Network activity,www.nato.int
Network activity,www.networkcia.com
Network activity,www.afa.org
Network activity,www.csmonitor.com
Network activity,www.slate.com
Network activity,www.macfeeresponse.com
External analysis,Crouching_Powerpoint_Hidden_Trojan_24C3.pdf
Network activity,lookbytheway.net
Network activity,www.indexnews.org
External analysis,07-F-2105doc1.pdf
Network activity,Dalailama.com
Network activity,www.macfeeresponse.org
Network activity,bigwww.com
Network activity,www.citzenlab.org
Network activity,www.lookbytheway.com
Network activity,www.msnppt.net
Network activity,blog.stopbadware.org
Network activity,www.itu.int
Network activity,www.lookbytheway.net
External analysis,rising-hackers.pdf
Network activity,www.msnyf.com
Network activity,www.webpronews.com
Network activity,3322.org
Network activity,www.daemon.be
Network activity,infowar-monitor.net
External analysis,ONI_Belarus_Country_Study.pdf
Network activity,macfeeresponse.org
Network activity,www.dod.mil
Network activity,www.globalsecurity.org
Network activity,xxxxxxxxxxx.broad.hk
Network activity,VirusTotal.com
Network activity,www.businessweek.com
Network activity,findarticles.com
Network activity,www.msnxy.net
Network activity,218.241.153.61
External analysis,Deibert.pdf
Network activity,www.insidetech.com
External analysis,Exile.doc
Network activity,kn.theiet.org
Network activity,58.141.132.66
Network activity,221.10.254.248
Payload delivery,losttemp33@hotmail.com
Network activity,www.heritage.org
Network activity,www.secdev.ca
Network activity,freetibet.org
Network activity,www.infowar-monitor.net
Network activity,xxxxxxxxxxxx.broad.hk.hi.dynamic.163data.com.cn
Network activity,fmso.leavenworth.army.mil
External analysis,Vanhorenbeeck.pdf
Network activity,124.135.97.21
External analysis,victorycyberspace.pdf
External analysis,79f7f4695b8878cf1760e8626129ca88
External analysis,ea03a7359505e19146994ad77b2a1e46
Other,Fritz_HOW-CHINA-WILL-USE-CYBER-WARFARE(Oct-01-08).pdf
Network activity,politics.slashdot.org
External analysis,China-Military-Power-final.pdf
Network activity,archive.newsmax.com
Network activity,www.sfgate.com
External analysis,unrestricted.pdf
Network activity,www.marketwatch.com
Network activity,www.amnestyusa.org
Network activity,www.economist.com
Network activity,asia.cnet.com
Network activity,www.ftc.gov
Network activity,www.amnesty.org
Network activity,www.csis.org
Network activity,hacker.ge
Network activity,technology.guardian.co.uk
Network activity,www.iht.com
Network activity,slashdot.org
Network activity,www.computerworld.com
Network activity,www.rand.org
Network activity,www.spacewar.com
Network activity,www.rsf.org
Network activity,Scientology.org
Network activity,www.internetevolution.com
Network activity,www.cfr.org
Network activity,www.scmagazineus.com
External analysis,BH-Fed-06-Maynor-Graham-up.pdf
External analysis,08_05_20_trans.pdf
Network activity,www.breitbart.com
Network activity,www.treehugger.com
Network activity,www.dallasnews.com
Network activity,www.foreignaffairs.org
Network activity,www.postimees.ee
Network activity,www.physorg.com
External analysis,060626_asia_balance_powers.pdf
Network activity,fas.org
Network activity,www.greenleft.org.au
Network activity,www.usatoday.com
Network activity,www.voipwiki.com
External analysis,info_ops_roadmap.pdf
Network activity,www.itnews.com.au
Network activity,sinodefence.com
Network activity,www.techweb.com
Network activity,www.globalsecurity.org
Network activity,www.uscc.gov
Network activity,sbdcnet.utsa.edu
Network activity,www.independent.co.uk
Network activity,www.asiamedia.ucla.edu
Network activity,www.voanews.com
Network activity,www.upiasiaonline.com
Network activity,article.pl
Network activity,www.techbriefs.com
Network activity,www.landfield.com
Network activity,www.ibls.com
Network activity,www.stsc.hill.af.mil
Network activity,sci.com
Network activity,www.tzengs.com
External analysis,MR580.pdf
Network activity,www.gcn.com
Network activity,www.chinanews.cn
Network activity,www.people.fas.harvard.edu
External analysis,_and_Harmonious_World.pdf
Network activity,www.notebookreview.com
Network activity,belfercenter.ksg.harvard.edu
Network activity,Chinanews.cn
Network activity,cryptome.org
Network activity,www.thestandard.com
External analysis,Alberts_NCW.pdf
Network activity,loosewire.typepad.com
Network activity,www.guardian.co.uk
Network activity,www.australianit.news.com.au
Network activity,qwika.com
Network activity,www.sinodefence.com
External analysis,gas_stations.pdf
Network activity,www.theage.com.au
Network activity,www.wftv.com
External analysis,friedman.pdf
Network activity,www.nasa.gov
Network activity,www.jamestown.org
External analysis,p533.pdf
Network activity,papers.ssrn.com
Network activity,www.heritage.org
Network activity,www.gao.gov
Network activity,irchelp.org
External analysis,shashoujian.pdf
Network activity,www.claws-and-paws.com
Network activity,www.globalresearch.ca
Network activity,www.tiraspoltimes.com
Network activity,abcnews.go.com
Network activity,www.koreatimes.co.kr
Network activity,lrtranslations.blogspot.com
Network activity,www.news.com.au
Network activity,chinaview.wordpress.com
Network activity,opennet.net
Network activity,ity.org
Network activity,www.textfiles.com
Network activity,www.networkworld.com
Network activity,en.rian.ru
Network activity,www.csmonitor.com
Network activity,www.upi.com
Network activity,yro.slashdot.org
Network activity,www.robson.org
Network activity,web.archive.org
Network activity,www.briancuban.com
Network activity,www.appleinsider.com
Network activity,www.sciencedaily.com
Network activity,www.dni.gov
Network activity,www.radioaustralia.net.au
Network activity,co.uk
Network activity,technology.timesonline.co.uk
External analysis,d011073t.pdf
Network activity,www.defenselink.mil
Network activity,code.red
Network activity,programs.ssrc.org
Network activity,www.chicagotribune.com
Network activity,www.macworld.com
External analysis,Alberts_IAT.pdf
Network activity,business.smh.com.au
Network activity,www.terrorism.com
Network activity,www.strategycenter.net
Network activity,www.epl.ee
Network activity,venturebeat.com
Network activity,www.infowar-monitor.net
Network activity,Digg.com
Network activity,www.streem.com.au
Network activity,www.defensetech.org
Network activity,www.pbs.org
Network activity,www.engadget.com
Network activity,www.zone-h.org
Network activity,www.totse.com
Network activity,www.informaworld.com
Network activity,news.cnet.com
Network activity,www.infoworld.com
External analysis,chinanavy2007.pdf
Network activity,www.pcworld.com
Network activity,warez.ge
Network activity,www.sunstar.com.ph
Network activity,searchsecurity.techtarget.com
Network activity,www.newsweek.com
Network activity,news.bbc.co
Network activity,StopGeorgia.ru
Network activity,www.howstuffworks.com
Network activity,www.atimes.com
Network activity,www.blackhat.com
Network activity,zoushoku.narc.affrc.go.jp
Network activity,www.dodccrp.org
Network activity,www.abc.net.au
Network activity,www.wsws.org
Network activity,www.aol.com.au
Network activity,www.sbcc-chamber.com
Network activity,www.airforcetimes.com
Network activity,towards.one
Network activity,www.allbusiness.com
Network activity,www.popularmechanics.com
Network activity,english.people.com.cn
Network activity,wikipedia.qwika.com
Network activity,www.fas.org
Network activity,www.nottingham.ac.uk
Network activity,www.StategicStudiesInstitute.army.mil
Network activity,library.nmsu.edu
Network activity,news.com.com
Network activity,www.clevelandfed.org
Network activity,www.comw.org
Network activity,www.sciam.com
Network activity,www.gwu.edu
Network activity,info.anu.edu.au
Other,556_10535_798405_Annex87_CyberAttacks.pdf
Network activity,www.georgiaupdate.gov.ge
Network activity,79.135.167.22
Network activity,62.168.168.9
Network activity,president.gov.ge
Network activity,stopgeorgia.info
Network activity,kavkaz.org
Network activity,www.parliament.ge
Network activity,thecanadianmeds.com
Network activity,www.president.gov.ge
Network activity,cybersecurity.ru
Network activity,www.apsny.ge
Network activity,Stopgeorgia.ru
Network activity,www.saesa.gov.ge
Network activity,79.135.167.49
Network activity,Shadowserver.org
Network activity,Xaker.ru
Network activity,mfa.gov.ge
Network activity,www.skandaly.ru
Network activity,hacker.ru
Network activity,Skandaly.ru
Network activity,googlecomaolcomyahoocomaboutcom.net
Network activity,Bryansk.ru
Network activity,mod.gov.ge
Network activity,chechenpress.com
External analysis,name.avi.exe
Network activity,kavkazcenter.com
Network activity,Ripe.net
Ashmore_Impact-of-Alleged-Russian-Cyber-Attacks(Jan-18-09).pdf
prygi.blogspot.com
transnet.act.nato.int
www.times.spb.ru
lumen.cgsccarl.com
translate.google.ru
www.wmdinsights.com
www.euractiv.com
stu.neva.ru
CNN.com
Infopass.net
www.businessweek.com
www.iht.com
nato.int
EurActiv.com
search.ebscohost.com
www.osce.org
ec.europa.eu
America.gov
www.opensource.gov
conventions.coe.int
www.nato.int
www.guardian.co.uk
www.un.org
StopGeorgia.ru
studies.do
proquest.umi.com
Economist.com
www.baltictimes.com
www.earthtimes.org
www.america.gov
www.foreignpolicy.com
Forbes.com
www.jamestown.org
www.europarl.europa.eu
Civil.ge
www.economist.com
www.dni.gov
www.inforwars.net
ghostnet.pdf
210.51.7.155
www.internetworldstats.com
worldanalysis.net
Beijings-rising-hackers.pdf
www.yorku.ca
broad.hk.hi.dynamic.163data.com.cn
